"","x"
"433","4,-76,"
"434","4,76,"
"435","-87,-64,"
"436","567,-120,"
"437","-892,892,"
"438","-892,-923,"
"439","923,892,"
"440","923,-923,"
"441","-185,-149,"
"442","-185,280,"
"443","-185,8,"
"444","55,-149,"
"445","55,280,"
"446","-170,158,"
"447","-185,-10,"
"448","-185,-168,"
"449","55,-10,"
"450","55,158,"
"451","55,-168,"
"452","65,158,"
"453","-170,-10,"
"454","-170,-168,"
"455","-185,158,"
"456","55,8,"
"457","65,-10,"
"458","65,-168,"
"459","-170,8,"
"460","-170,-99,"
"461","-185,-99,"
"462","55,-99,"
"463","65,8,"
"464","65,-99,"
"465","40,-40,"
"466","40,95,"
"467","450,661,"
"468","-661,661,"
"469","-76,76,"
"470","-76,-76,"
"471","76,76,"
"472","76,-76,"
"473","-233,-4,"
"474","-233,4,"
"475","233,-4,"
"476","233,4,"
"477","-233,-76,"
"478","-233,76,"
"479","233,-76,"
"480","233,76,"
"481","359,-76,"
"482","-359,-76,"
"483","-359,76,"
"484","359,76,"
"485","-94,-76,"
"486","94,-76,"
"487","-143,-76,"
"488","143,-76,"
"489","-233,"
"490","-233,233,"
"491","233,233,"
"492","-237,237,"
"493","-242,-76,"
"494","242,-76,"
"495","247,237,"
"496","4,233,"
"497","-445,-76,"
"498","-445,76,"
"499","-76,"
"500","-76,-445,"
"501","-76,445,"
"502","-94,76,"
"503","94,76,"
"504","120,115,"
"505","-158,-10,"
"506","-158,8,"
"507","-325,-10,"
"508","-325,325,"
"509","-325,-569,"
"510","-325,8,"
"511","-163,302,"
"512","-163,-323,"
"513","-163,-479,"
"514","-287,302,"
"515","-302,163,"
"516","-302,287,"
"517","-302,302,"
"518","-302,-323,"
"519","-302,-434,"
"520","-302,-479,"
"521","323,302,"
"522","350,-85,"
"523","-157,-270,"
"524","-157,87,"
"525","-316,316,"
"526","-397,"
"527","397,"
"528","-397,-397,"
"529","-397,397,"
"530","397,-397,"
"531","397,397,"
"532","-397,-4,"
"533","-397,4,"
"534","397,-4,"
"535","397,4,"
"536","-4,-397,"
"537","-4,397,"
"538","4,-397,"
"539","4,397,"
"540","64,87,"
"541","68,-270,"
"542","68,87,"
"543","129,-392,"
"544","-54,-392,"
"545","62,-392,"
"546","129,265,"
"547","-20,-392,"
"548","374,265,"
"549","374,-392,"
"550","-421,-129,"
"551","-421,20,"
"552","-421,-392,"
"553","-421,-62,"
"554","519,-129,"
"555","519,20,"
"556","519,-392,"
"557","519,-62,"
"558","-54,265,"
"559","-565,265,"
"560","-565,-392,"
"561","62,265,"
"562","-20,265,"
"563","374,-129,"
"564","374,20,"
"565","374,54,"
"566","374,-62,"
"567","-421,265,"
"568","-421,54,"
"569","519,265,"
"570","519,54,"
"571","-565,-129,"
"572","-565,20,"
"573","-565,54,"
"574","-565,-62,"
"575","120,-43,"
"576","400,157,"
"577","400,-68,"
"578","-170,280,"
"579","65,280,"
"580","-170,-149,"
"581","-54,280,"
"582","62,280,"
"583","65,-149,"
"584","278,-4,"
"585","-54,-149,"
"586","62,-149,"
"587","129,158,"
"588","129,-168,"
"589","-158,-129,"
"590","-173,-129,"
"591","204,-129,"
"592","99,158,"
"593","99,-168,"
"594","62,-374,"
"595","62,565,"
"596","149,-10,"
"597","149,-62,"
"598","168,-10,"
"599","-280,-10,"
"600","-280,-62,"
"601","-4,-242,"
"602","-4,242,"
"603","4,-242,"
"604","4,242,"
"605","479,302,"
"606","479,-479,"
"607","76,"
"608","-158,20,"
"609","-280,20,"
"610","-280,54,"
"611","-280,8,"
"612","-4,-143,"
"613","-4,143,"
"614","4,-143,"
"615","4,143,"
